time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.047,0.0,1.3244382343946481
0.0005,0.047,0.0,1.3244365527413025
0.001,0.047,0.0,1.3244349715796249
0.0015,0.047,0.0,1.32443348487976
0.002,0.047,0.0,1.3244320869988984
0.0025,0.047,0.0,1.3244307726101932
0.003,0.047,0.0,1.3244295367284564
0.0035,0.047,0.0,1.3244283746473693
0.004,0.047,0.0,1.324427281962209
0.0045,0.047,0.0,1.3244262545144618
0.005,0.047,0.0,1.324425288411926
0.0055,0.047,0.0,1.3244243799797382
0.006,0.047,0.0,1.324423525778271
0.0065,0.047,0.0,1.3244227225599319
0.007,0.047,0.0,1.3244219672847075
0.0075,0.047,0.0,1.324421257082283
0.008,0.047,0.0,1.3244205892658096
0.0085,0.047,0.0,1.324419961298278
0.009,0.047,0.0,1.3244193708047522
0.0095,0.047,0.0,1.3244188155427061
0.01,0.047,0.0,1.3244182934127688
0.0105,0.047,0.0,1.324417802432605
0.011,0.047,0.0,1.3244173407464461
0.0115,0.047,0.0,1.3244169066018905
0.012,0.047,0.0,1.3244164983583475
0.0125,0.047,0.0,1.3244161144665605
0.013,0.047,0.0,1.3244157534762089
0.0135,0.047,0.0,1.3244154140176603
0.014,0.047,0.0,1.32441509480863
0.0145,0.047,0.0,1.324414794638262
0.015,0.047,0.0,1.3244145123728484
0.0155,0.047,0.0,1.3244142469418145
0.016,0.047,0.0,1.32441399734287
0.0165,0.047,0.0,1.324413762629456
0.017,0.047,0.0,1.3244135419153245
0.0175,0.047,0.0,1.3244133343635722
0.018,0.047,0.0,1.3244131391906486
0.0185,0.047,0.0,1.3244129556565547
0.019,0.047,0.0,1.3244127830684802
0.0195,0.047,0.0,1.3244126207721634
0.02,0.047,0.0,1.324412468154912
0.0205,0.047,0.0,1.3244123246382755
0.021,0.047,0.0,1.3244121896805428
0.0215,0.047,0.0,1.3244120627701599
0.022,0.047,0.0,1.324411943428204
0.0225,0.047,0.0,1.3244118312022926
0.023,0.047,0.0,1.3244117256689372
0.0235,0.047,0.0,1.324411626428168
0.024,0.047,0.0,1.3244115331054684
0.0245,0.047,0.0,1.324411445347192
0.025,0.047,0.0,1.3244113628221983
0.0255,0.047,0.0,1.324411285217692
0.026,0.047,0.0,1.3244112122409073
0.0265,0.047,0.0,1.3244111436152957
0.027,0.047,0.0,1.3244110790818862
0.0275,0.047,0.0,1.3244110183961921
0.028,0.047,0.0,1.3244109613292
0.0285,0.047,0.0,1.324410907664697
0.029,0.047,0.0,1.324410857200211
0.0295,0.047,0.0,1.3244108097445337
0.03,0.047,0.0,1.3244107651185901
0.0305,0.047,0.0,1.324410723153356
0.031,0.047,0.0,1.324410683690453
0.0315,0.047,0.0,1.3244106465803915
0.032,0.047,0.0,1.3244106116831398
0.0325,0.047,0.0,1.3244105788665133
0.033,0.047,0.0,1.3244105480066721
0.0335,0.047,0.0,1.324410518986733
0.034,0.047,0.0,1.3244104916971906
0.0345,0.047,0.0,1.3244104660346547
0.035,0.047,0.0,1.324410441902321
0.0355,0.047,0.0,1.3244104192087576
0.036,0.047,0.0,1.3244103978683508
0.0365,0.047,0.0,1.324410377800265
0.037,0.047,0.0,1.3244103589287655
0.0375,0.047,0.0,1.3244103411824246
0.038,0.047,0.0,1.3244103244941976
0.0385,0.047,0.0,1.324410308800951
0.039,0.047,0.0,1.3244102940434384
0.0395,0.047,0.0,1.3244102801657311
0.04,0.047,0.0,1.3244102671155653
0.0405,0.047,0.0,1.324410254843399
0.041,0.047,0.0,1.3244102433029845
0.0415,0.047,0.0,1.324410232450599
0.042,0.047,0.0,1.3244102222452925
0.0425,0.047,0.0,1.3244102126484418
0.043,0.047,0.0,1.3244102036238017
0.0435,0.047,0.0,1.3244101951372302
0.044,0.047,0.0,1.3244101871566658
0.0445,0.047,0.0,1.3244101796518786
0.045,0.047,0.0,1.3244101725945945
0.0455,0.047,0.0,1.3244101659580505
0.046,0.047,0.0,1.324410159717216
0.0465,0.047,0.0,1.324410153848447
0.047,0.047,0.0,1.3244101483296093
0.0475,0.047,0.0,1.3244101431398076
0.048,0.047,0.0,1.3244101382594577
0.0485,0.047,0.0,1.3244101336700655
0.049,0.047,0.0,1.3244101293543251
0.0495,0.047,0.0,1.3244101252958715
0.05,0.047,0.0,1.324410121479404
0.0505,0.047,0.0,1.3244101178904637
0.051,0.047,0.0,1.324410114515533
0.0515,0.047,0.0,1.324410111341836
0.052,0.047,0.0,1.3244101083573412
0.0525,0.047,0.0,1.324410105550758
0.053,0.047,0.0,1.3244101029115647
0.0535,0.047,0.0,1.3244101004296849
0.054,0.047,0.0,1.3244100980958091
0.0545,0.047,0.0,1.324410095901074
0.055,0.047,0.0,1.3244100938371859
